rgb,yes,trial-01,model_inpaint_rgb,2019:06:04_15:32:14.457099
rgb_hsv,yes,trial-01,model_inpaint_rgb_hsv,2019:06:04_15:34:42.021712
rgb_lab,yes,trial-01,model_inpaint_rgb_lab,2019:06:04_15:35:02.786955
rgb_ycbcr,yes,trial-01,model_inpaint_rgb_ycbcr,2019:06:04_15:35:32.871387
hsv,yes,itai-01,model_inpaint_hsv,2019:05:29_23:15:02.842740
hsv_lab,yes,trial-01,model_inpaint_hsv_lab,2019:06:04_15:36:15.037750
hsv_ycbcr,yes,trial-01,model_inpaint_hsv_ycbcr,2019:06:04_15:36:40.617039
lab,yes,trial-01,model_inpaint_lab,2019:06:04_15:39:04.060444
lab_ycbcr,yes,trial-01,model_inpaint_lab_ycbcr,2019:06:04_15:39:31.901653
ycbcr,yes,trial-01,model_inpaint_ycbcr,2019:06:04_15:39:55.470186
rgb,no,trial-01,model_rgb,2019:06:04_15:27:22.526590
rgb_hsv,no,trial-01,model_rgb_hsv,2019:06:04_15:27:51.283154
rgb_lab,no,trial-01,model_rgb_lab,2019:06:04_15:28:13.880630
rgb_ycbcr,no,trial-01,model_rgb_ycbcr,2019:06:04_15:28:31.895716
hsv,no,trial-01,model_hsv,2019:06:04_15:29:06.256473
hsv_lab,no,itai-01,model_hsv_lab,2019:05:29_22:34:43.236079
hsv_ycbcr,no,trial-01,model_hsv_ycbcr,2019:06:04_15:29:45.781015
lab,no,trial-01,model_lab,2019:06:04_15:30:07.336382
lab_ycbcr,no,trial-01,model_lab_ycbcr,2019:06:04_15:30:32.815795
ycbcr,no,trial-01,model_ycbcr,2019:06:04_15:30:55.716462
