Project :,sand-01
RGB
Train Loss,Train Mae,Val Loss,Val Mae

RGB + HSV
Train Loss,Train Mae,Val Loss,Val Mae

RGB + LAB
Train Loss,Train Mae,Val Loss,Val Mae

RGB + YCbCr

HSV
0.021862796005351764,0.09620552559040095,0.040256039165383714,0.10883415659720247
0.021815950204128104,0.09399115225594294,0.033415575765750626,0.11366172033277425

HSV + LAB
0.024288088034250234,0.10222578774157323,0.0420347120274197,0.1124644208360802
0.025817140416046113,0.1010700911283493,0.03344650414179672,0.11973251808773387

HSV + YCbCr

LAB

LAB + YCbCr

 YCbCr

RGB Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

RGB + HSV Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

RGB + LAB Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

RGB + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

HSV Inpaint
Train Loss,Train Mae,Val Loss,Val Mae
0.022575055910764558,0.09836468355436075,0.04000709675760432,0.1032897217029875
0.02256342397365523,0.09714719947231443,0.046315786090086804,0.1467504193159667

HSV + LAB Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

HSV + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

LAB  Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

LAB + YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

 YCbCr Inpaint
Train Loss,Train Mae,Val Loss,Val Mae

Rata-rata Skor
Tanpa Inpaint
Ruang Warna,Train Loss,Train Mae,Val Loss,Val Mae
RGB,0,0,0,0
RGB+HSV,0,0,0,0
RGB+LAB,0,0,0,0
RGB+HSV,0,0,0,0
HSV,0.021839373104739934,0.09509833892317195,0.036835807465567166,0.11124793846498836
HSV+LAB,0.025052614225148172,0.10164793943496127,0.03774060808460821,0.11609846946190704
HSV+YCbCr,0,0,0,0
LAB,0,0,0,0
LAB+YCbCr,0,0,0,0
YCbCr,0,0,0,0

Dengan Inpaint
Ruang Warna,Train Loss,Train Mae,Val Loss,Val Mae
RGB,0,0,0,0
RGB+HSV,0,0,0,0
RGB+LAB,0,0,0,0
RGB+HSV,0,0,0,0
HSV,0.02256923994220989,0.09775594151333758,0.043161441423845565,0.1250200705094771
HSV+LAB,0,0,0,0
HSV+YCbCr,0,0,0,0
LAB,0,0,0,0
LAB+YCbCr,0,0,0,0
YCbCr,0,0,0,0
